"","Index","Wortlaut"
"1007","HGB § 319 (1)"," Abschlussprüfer können Wirtschaftsprüfer und Wirtschaftsprüfungsgesellschaften sein. Abschlussprüfer von Jahresabschlüssen und Lageberichten mittelgroßer Gesellschaften mit beschränkter Haftung (§ 267 Abs. 2) oder von mittelgroßen Personenhandelsgesellschaften im Sinne des § 264a Abs. 1 können auch vereidigte Buchprüfer und Buchprüfungsgesellschaften sein. Die Abschlussprüfer nach den Sätzen 1 und 2 müssen über einen Auszug aus dem Berufsregister verfügen, aus dem sich ergibt, dass die Eintragung nach § 38 Nummer 1 Buchstabe h oder Nummer 2 Buchstabe f der Wirtschaftsprüferordnung vorgenommen worden ist; Abschlussprüfer, die erstmalig eine gesetzlich vorgeschriebene Abschlussprüfung nach § 316 des Handelsgesetzbuchs durchführen, müssen spätestens sechs Wochen nach Annahme eines Prüfungsauftrages über den Auszug aus dem Berufsregister verfügen. Die Abschlussprüfer sind während einer laufenden Abschlussprüfung verpflichtet, eine Löschung der Eintragung unverzüglich gegenüber der Gesellschaft anzuzeigen."
"1008","HGB § 319 (2)"," Ein Wirtschaftsprüfer oder vereidigter Buchprüfer ist als Abschlussprüfer ausgeschlossen, wenn während des Geschäftsjahres, für dessen Schluss der zu prüfende Jahresabschluss aufgestellt wird, oder während der Abschlussprüfung Gründe, insbesondere Beziehungen geschäftlicher, finanzieller oder persönlicher Art, vorliegen, nach denen die Besorgnis der Befangenheit besteht."
"1009","HGB § 319 (3)"," Ein Wirtschaftsprüfer oder vereidigter Buchprüfer ist insbesondere von der Abschlussprüfung ausgeschlossen, wenn er oder eine Person, mit der er seinen Beruf gemeinsam ausübt, 1.Anteile oder andere nicht nur unwesentliche finanzielle Interessen an der zu prüfenden Kapitalgesellschaft oder eine Beteiligung an einem Unternehmen besitzt, das mit der zu prüfenden Kapitalgesellschaft verbunden ist oder von dieser mehr als zwanzig vom Hundert der Anteile besitzt;2.gesetzlicher Vertreter, Mitglied des Aufsichtsrats oder Arbeitnehmer der zu prüfenden Kapitalgesellschaft oder eines Unternehmens ist, das mit der zu prüfenden Kapitalgesellschaft verbunden ist oder von dieser mehr als zwanzig vom Hundert der Anteile besitzt;3.über die Prüfungstätigkeit hinaus bei der zu prüfenden oder für die zu prüfende Kapitalgesellschaft in dem zu prüfenden Geschäftsjahr oder bis zur Erteilung des Bestätigungsvermerksa)bei der Führung der Bücher oder der Aufstellung des zu prüfenden Jahresabschlusses mitgewirkt hat,b)bei der Durchführung der internen Revision in verantwortlicher Position mitgewirkt hat,c)Unternehmensleitungs- oder Finanzdienstleistungen erbracht hat oderd)eigenständige versicherungsmathematische oder Bewertungsleistungen erbracht hat, die sich auf den zu prüfenden Jahresabschluss nicht nur unwesentlich auswirken,sofern diese Tätigkeiten nicht von untergeordneter Bedeutung sind; dies gilt auch, wenn eine dieser Tätigkeiten von einem Unternehmen für die zu prüfende Kapitalgesellschaft ausgeübt wird, bei dem der Wirtschaftsprüfer oder vereidigte Buchprüfer gesetzlicher Vertreter, Arbeitnehmer, Mitglied des Aufsichtsrats oder Gesellschafter, der mehr als zwanzig vom Hundert der den Gesellschaftern zustehenden Stimmrechte besitzt, ist;4.bei der Prüfung eine Person beschäftigt, die nach den Nummern 1 bis 3 nicht Abschlussprüfer sein darf;5.in den letzten fünf Jahren jeweils mehr als dreißig vom Hundert der Gesamteinnahmen aus seiner beruflichen Tätigkeit von der zu prüfenden Kapitalgesellschaft und von Unternehmen, an denen die zu prüfende Kapitalgesellschaft mehr als zwanzig vom Hundert der Anteile besitzt, bezogen hat und dies auch im laufenden Geschäftsjahr zu erwarten ist; zur Vermeidung von Härtefällen kann die Wirtschaftsprüferkammer befristete Ausnahmegenehmigungen erteilen.Dies gilt auch, wenn der Ehegatte oder der Lebenspartner einen Ausschlussgrund nach Satz 1 Nr. 1, 2 oder 3 erfüllt."
"1010","HGB § 319 (4)"," Wirtschaftsprüfungsgesellschaften und Buchprüfungsgesellschaften sind von der Abschlussprüfung ausgeschlossen, wenn sie selbst, einer ihrer gesetzlichen Vertreter, ein Gesellschafter, der mehr als zwanzig vom Hundert der den Gesellschaftern zustehenden Stimmrechte besitzt, ein verbundenes Unternehmen, ein bei der Prüfung in verantwortlicher Position beschäftigter Gesellschafter oder eine andere von ihr beschäftigte Person, die das Ergebnis der Prüfung beeinflussen kann, nach Absatz 2 oder Absatz 3 ausgeschlossen sind. Satz 1 gilt auch, wenn ein Mitglied des Aufsichtsrats nach Absatz 3 Satz 1 Nr. 2 ausgeschlossen ist oder wenn mehrere Gesellschafter, die zusammen mehr als zwanzig vom Hundert der den Gesellschaftern zustehenden Stimmrechte besitzen, jeweils einzeln oder zusammen nach Absatz 2 oder Absatz 3 ausgeschlossen sind."
"1011","HGB § 319 (5)"," Absatz 1 Satz 3 sowie die Absätze 2 bis 4 sind auf den Abschlussprüfer des Konzernabschlusses entsprechend anzuwenden.
"
"1012","HGB § 319a ","§ 319a(weggefallen)"
"1013","HGB § 319b ","§ 319bNetzwerk
"
"1014","HGB § 319b (1)"," Ein Abschlussprüfer ist von der Abschlussprüfung ausgeschlossen, wenn ein Mitglied seines Netzwerks einen Ausschlussgrund nach § 319 Abs. 2, 3 Satz 1 Nr. 1, 2 oder Nr. 4, Abs. 3 Satz 2 oder Abs. 4 erfüllt, es sei denn, dass das Netzwerkmitglied auf das Ergebnis der Abschlussprüfung keinen Einfluss nehmen kann. Er ist ausgeschlossen, wenn ein Mitglied seines Netzwerks einen Ausschlussgrund nach § 319 Abs. 3 Satz 1 Nr. 3 erfüllt. Ein Netzwerk liegt vor, wenn Personen bei ihrer Berufsausübung zur Verfolgung gemeinsamer wirtschaftlicher Interessen für eine gewisse Dauer zusammenwirken."
"1015","HGB § 319b (2)"," Absatz 1 ist auf den Abschlussprüfer des Konzernabschlusses entsprechend anzuwenden.
"
"1016","HGB § 320 ","§ 320Vorlagepflicht. Auskunftsrecht
"
"1017","HGB § 320 (1)"," Die gesetzlichen Vertreter der Kapitalgesellschaft haben dem Abschlußprüfer den Jahresabschluß, den Lagebericht und den gesonderten nichtfinanziellen Bericht unverzüglich nach der Aufstellung vorzulegen. Sie haben ihm zu gestatten, die Bücher und Schriften der Kapitalgesellschaft sowie die Vermögensgegenstände und Schulden, namentlich die Kasse und die Bestände an Wertpapieren und Waren, zu prüfen. Die gesetzlichen Vertreter einer Kapitalgesellschaft, die als Inlandsemittent (§ 2 Absatz 14 des Wertpapierhandelsgesetzes) Wertpapiere (§ 2 Absatz 1 des Wertpapierhandelsgesetzes) begibt und keine Kapitalgesellschaft im Sinne des § 327a ist, haben dem Abschlussprüfer auch die für Zwecke der Offenlegung nach den Vorgaben des § 328 Absatz 1 erstellte Wiedergabe des Jahresabschlusses und die nach diesen Vorgaben erstellte Wiedergabe des Lageberichts vorzulegen."
"1018","HGB § 320 (2)"," Der Abschlußprüfer kann von den gesetzlichen Vertretern alle Aufklärungen und Nachweise verlangen, die für eine sorgfältige Prüfung notwendig sind. Soweit es die Vorbereitung der Abschlußprüfung erfordert, hat der Abschlußprüfer die Rechte nach Absatz 1 Satz 2 und nach Satz 1 auch schon vor Aufstellung des Jahresabschlusses. Soweit es für eine sorgfältige Prüfung notwendig ist, hat der Abschlußprüfer die Rechte nach den Sätzen 1 und 2 auch gegenüber Mutter- und Tochterunternehmen."
"1019","HGB § 320 (3)"," Die gesetzlichen Vertreter einer Kapitalgesellschaft, die einen Konzernabschluß aufzustellen hat, haben dem Abschlußprüfer des Konzernabschlusses den Konzernabschluß, den Konzernlagebericht, den gesonderten nichtfinanziellen Konzernbericht, die Jahresabschlüsse, Lageberichte, die gesonderten nichtfinanziellen Berichte und, wenn eine Prüfung stattgefunden hat, die Prüfungsberichte des Mutterunternehmens und der Tochterunternehmen vorzulegen. Der Abschlußprüfer hat die Rechte nach Absatz 1 Satz 2 und nach Absatz 2 bei dem Mutterunternehmen und den Tochterunternehmen, die Rechte nach Absatz 2 auch gegenüber den Abschlußprüfern des Mutterunternehmens und der Tochterunternehmen. Die gesetzlichen Vertreter einer Kapitalgesellschaft, die als Inlandsemittent (§ 2 Absatz 14 des Wertpapierhandelsgesetzes) Wertpapiere (§ 2 Absatz 1 des Wertpapierhandelsgesetzes) begibt und keine Kapitalgesellschaft im Sinne des § 327a ist, haben dem Abschlussprüfer auch die für Zwecke der Offenlegung nach den Vorgaben des § 328 Absatz 1 erstellte Wiedergabe des Konzernabschlusses und die nach diesen Vorgaben erstellte Wiedergabe des Konzernlageberichts vorzulegen."
"1020","HGB § 320 (4)"," Der bisherige Abschlussprüfer hat dem neuen Abschlussprüfer auf schriftliche Anfrage über das Ergebnis der bisherigen Prüfung zu berichten; § 321 ist entsprechend anzuwenden."
"1021","HGB § 320 (5)"," Ist die Kapitalgesellschaft als Tochterunternehmen in den Konzernabschluss eines Mutterunternehmens einbezogen, das seinen Sitz nicht in einem Mitgliedstaat der Europäischen Union oder einem anderen Vertragsstaat des Abkommens über den Europäischen Wirtschaftsraum hat, kann der Prüfer nach Absatz 2 zur Verfügung gestellte Unterlagen an den Abschlussprüfer des Konzernabschlusses weitergeben, soweit diese für die Prüfung des Konzernabschlusses des Mutterunternehmens erforderlich sind. Die Übermittlung personenbezogener Daten muss im Einklang mit den Vorgaben der Verordnung (EU) 2016/679 und den allgemeinen datenschutzrechtlichen Vorschriften stehen.
"
"1022","HGB § 321 ","§ 321Prüfungsbericht
"
"1023","HGB § 321 (1)"," Der Abschlußprüfer hat über Art und Umfang sowie über das Ergebnis der Prüfung zu berichten; auf den Bericht sind die Sätze 2 und 3 sowie die Absätze 2 bis 4a anzuwenden. Der Bericht ist schriftlich und mit der gebotenen Klarheit abzufassen; in ihm ist vorweg zu der Beurteilung der Lage der Kapitalgesellschaft oder Konzerns durch die gesetzlichen Vertreter Stellung zu nehmen, wobei insbesondere auf die Beurteilung des Fortbestandes und der künftigen Entwicklung der Kapitalgesellschaft unter Berücksichtigung des Lageberichts und bei der Prüfung des Konzernabschlusses von Mutterunternehmen auch des Konzerns unter Berücksichtigung des Konzernlageberichts einzugehen ist, soweit die geprüften Unterlagen und der Lagebericht oder der Konzernlagebericht eine solche Beurteilung erlauben. Außerdem hat der Abschlussprüfer über bei Durchführung der Prüfung festgestellte Unrichtigkeiten oder Verstöße gegen gesetzliche Vorschriften sowie Tatsachen zu berichten, die den Bestand der geprüften Kapitalgesellschaft oder des Konzerns gefährden oder seine Entwicklung wesentlich beeinträchtigen können oder die schwerwiegende Verstöße der gesetzlichen Vertreter oder von Arbeitnehmern gegen Gesetz, Gesellschaftsvertrag oder die Satzung erkennen lassen."
"1024","HGB § 321 (2)"," Im Hauptteil des Prüfungsberichts ist festzustellen, ob die Buchführung und die weiteren geprüften Unterlagen, der Jahresabschluss, der Lagebericht, der Konzernabschluss und der Konzernlagebericht den gesetzlichen Vorschriften und den ergänzenden Bestimmungen des Gesellschaftsvertrags oder der Satzung entsprechen. In diesem Rahmen ist auch über Beanstandungen zu berichten, die nicht zur Einschränkung oder Versagung des Bestätigungsvermerks geführt haben, soweit dies für die Überwachung der Geschäftsführung und der geprüften Kapitalgesellschaft von Bedeutung ist. Es ist auch darauf einzugehen, ob der Abschluss insgesamt unter Beachtung der Grundsätze ordnungsmäßiger Buchführung oder sonstiger maßgeblicher Rechnungslegungsgrundsätze ein den tatsächlichen Verhältnissen entsprechendes Bild der Vermögens-, Finanz- und Ertragslage der Kapitalgesellschaft oder des Konzerns vermittelt. Dazu ist auch auf wesentliche Bewertungsgrundlagen sowie darauf einzugehen, welchen Einfluss Änderungen in den Bewertungsgrundlagen einschließlich der Ausübung von Bilanzierungs- und Bewertungswahlrechten und der Ausnutzung von Ermessensspielräumen sowie sachverhaltsgestaltende Maßnahmen insgesamt auf die Darstellung der Vermögens-, Finanz- und Ertragslage haben. Hierzu sind die Posten des Jahres- und des Konzernabschlusses aufzugliedern und ausreichend zu erläutern, soweit diese Angaben nicht im Anhang enthalten sind. Es ist darzustellen, ob die gesetzlichen Vertreter die verlangten Aufklärungen und Nachweise erbracht haben."
"1025","HGB § 321 (3)"," In einem besonderen Abschnitt des Prüfungsberichts sind Gegenstand, Art und Umfang der Prüfung zu erläutern. Dabei ist auch auf die angewandten Rechnungslegungs- und Prüfungsgrundsätze einzugehen."
"1026","HGB § 321 (4)"," Ist im Rahmen der Prüfung eine Beurteilung nach § 317 Abs. 4 abgegeben worden, so ist deren Ergebnis in einem besonderen Teil des Prüfungsberichts darzustellen. Es ist darauf einzugehen, ob Maßnahmen erforderlich sind, um das interne Überwachungssystem zu verbessern."
"1027","HGB § 321 (4a)"," Der Abschlussprüfer hat im Prüfungsbericht seine Unabhängigkeit zu bestätigen."
"1028","HGB § 321 (5)"," Der Abschlußprüfer hat den Bericht unter Angabe des Datums zu unterzeichnen und den gesetzlichen Vertretern vorzulegen; § 322 Absatz 7 Satz 3 und 4 gilt entsprechend. Hat der Aufsichtsrat den Auftrag erteilt, so ist der Bericht ihm und gleichzeitig einem eingerichteten Prüfungsausschuss vorzulegen. Im Fall des Satzes 2 ist der Bericht unverzüglich nach Vorlage dem Geschäftsführungsorgan mit Gelegenheit zur Stellungnahme zuzuleiten."
"1029","HGB § 321a ","§ 321aOffenlegung des Prüfungsberichts in besonderen Fällen
"
"1030","HGB § 321a (1)"," Wird über das Vermögen der Gesellschaft ein Insolvenzverfahren eröffnet oder wird der Antrag auf Eröffnung des Insolvenzverfahren mangels Masse abgewiesen, so hat ein Gläubiger oder Gesellschafter die Wahl, selbst oder durch einen von ihm zu bestimmenden Wirtschaftsprüfer oder im Fall des § 319 Abs. 1 Satz 2 durch einen vereidigten Buchprüfer Einsicht in die Prüfungsberichte des Abschlussprüfers über die aufgrund gesetzlicher Vorschriften durchzuführende Prüfung des Jahresabschlusses der letzten drei Geschäftsjahre zu nehmen, soweit sich diese auf die nach § 321 geforderte Berichterstattung beziehen. Der Anspruch richtet sich gegen denjenigen, der die Prüfungsberichte in seinem Besitz hat."
"1031","HGB § 321a (2)"," Bei einer Aktiengesellschaft oder einer Kommanditgesellschaft auf Aktien stehen den Gesellschaftern die Rechte nach Absatz 1 Satz 1 nur zu, wenn ihre Anteile bei Geltendmachung des Anspruchs zusammen den einhundertsten Teil des Grundkapitals oder einen Börsenwert von 100 000 Euro erreichen. Dem Abschlussprüfer ist die Erläuterung des Prüfungsberichts gegenüber den in Absatz 1 Satz 1 aufgeführten Personen gestattet."
"1032","HGB § 321a (3)"," Der Insolvenzverwalter oder ein gesetzlicher Vertreter des Schuldners kann einer Offenlegung von Geheimnissen, namentlich Betriebs- oder Geschäftsgeheimnissen, widersprechen, wenn die Offenlegung geeignet ist, der Gesellschaft einen erheblichen Nachteil zuzufügen. § 323 Abs. 1 und 3 bleibt im Übrigen unberührt. Unbeschadet des Satzes 1 sind die Berechtigten nach Absatz 1 Satz 1 zur Verschwiegenheit über den Inhalt der von ihnen eingesehenen Unterlagen nach Absatz 1 Satz 1 verpflichtet."
"1033","HGB § 321a (4)"," Die Absätze 1 bis 3 gelten entsprechend, wenn der Schuldner zur Aufstellung eines Konzernabschlusses und Konzernlageberichts verpflichtet ist."
"1034","HGB § 322 ","§ 322Bestätigungsvermerk
"
"1035","HGB § 322 (1)"," Der Abschlussprüfer hat das Ergebnis der Prüfung schriftlich in einem Bestätigungsvermerk zum Jahresabschluss oder zum Konzernabschluss zusammenzufassen. Der Bestätigungsvermerk hat Gegenstand, Art und Umfang der Prüfung zu beschreiben und dabei die angewandten Rechnungslegungs- und Prüfungsgrundsätze anzugeben; er hat ferner eine Beurteilung des Prüfungsergebnisses zu enthalten. In einem einleitenden Abschnitt haben zumindest die Beschreibung des Gegenstands der Prüfung und die Angabe zu den angewandten Rechnungslegungsgrundsätzen zu erfolgen. Über das Ergebnis der Prüfungen nach § 317 Absatz 3a und 3b ist jeweils in einem besonderen Abschnitt zu berichten."
"1036","HGB § 322 (1a)"," Bei der Erstellung des Bestätigungsvermerks hat der Abschlussprüfer die internationalen Prüfungsstandards anzuwenden, die von der Europäischen Kommission in dem Verfahren nach Artikel 26 Absatz 3 der Richtlinie 2006/43/EG angenommen worden sind."
"1037","HGB § 322 (2)"," Die Beurteilung des Prüfungsergebnisses muss zweifelsfrei ergeben, ob 1.ein uneingeschränkter Bestätigungsvermerk erteilt,2.ein eingeschränkter Bestätigungsvermerk erteilt,3.der Bestätigungsvermerk aufgrund von Einwendungen versagt oder4.der Bestätigungsvermerk deshalb versagt wird, weil der Abschlussprüfer nicht in der Lage ist, ein Prüfungsurteil abzugeben.Die Beurteilung des Prüfungsergebnisses soll allgemein verständlich und problemorientiert unter Berücksichtigung des Umstandes erfolgen, dass die gesetzlichen Vertreter den Abschluss zu verantworten haben. Auf Risiken, die den Fortbestand der Kapitalgesellschaft oder eines Konzernunternehmens gefährden, ist gesondert einzugehen. Auf Risiken, die den Fortbestand eines Tochterunternehmens gefährden, braucht im Bestätigungsvermerk zum Konzernabschluss des Mutterunternehmens nicht eingegangen zu werden, wenn das Tochterunternehmen für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage des Konzerns nur von untergeordneter Bedeutung ist."
